ref_area.label,indicator.label,sex.label,time,obs_value,obs_value
Afghanistan,Employment-to-population ratio by sex and age (%),Female,2008,39.75332142857143,39.75332142857143
Afghanistan,Employment-to-population ratio by sex and age (%),Female,2012,13.885357142857142,13.885357142857142
Afghanistan,Employment-to-population ratio by sex and age (%),Female,2014,20.52075,20.52075
Afghanistan,Employment-to-population ratio by sex and age (%),Female,2017,16.723857142857145,16.723857142857145
Afghanistan,Employment-to-population ratio by sex and age (%),Female,2020,12.511607142857143,12.511607142857143
Afghanistan,Employment-to-population ratio by sex and age (%),Female,2021,21.676285714285715,21.676285714285715
Afghanistan,Employment-to-population ratio by sex and age (%),Male,2008,78.56792857142857,78.56792857142857
Afghanistan,Employment-to-population ratio by sex and age (%),Male,2012,73.67503571428571,73.67503571428571
Afghanistan,Employment-to-population ratio by sex and age (%),Male,2014,69.92992857142858,69.92992857142858
Afghanistan,Employment-to-population ratio by sex and age (%),Male,2017,64.78075,64.78075
Afghanistan,Employment-to-population ratio by sex and age (%),Male,2020,58.61842857142857,58.61842857142857
Afghanistan,Employment-to-population ratio by sex and age (%),Male,2021,70.859,70.859
Afghanistan,Employment-to-population ratio by sex and age (%),Total,2008,59.90857142857143,59.90857142857143
Afghanistan,Employment-to-population ratio by sex and age (%),Total,2012,44.563892857142854,44.563892857142854
Afghanistan,Employment-to-population ratio by sex and age (%),Total,2014,45.724964285714286,45.724964285714286
Afghanistan,Employment-to-population ratio by sex and age (%),Total,2017,41.03896428571428,41.03896428571428
Afghanistan,Employment-to-population ratio by sex and age (%),Total,2020,35.76439285714286,35.76439285714286
Afghanistan,Employment-to-population ratio by sex and age (%),Total,2021,46.368964285714284,46.368964285714284
Albania,Employment-to-population ratio by sex and age (%),Female,2002,41.823750000000004,41.823750000000004
Albania,Employment-to-population ratio by sex and age (%),Female,2004,39.0,39.0
Albania,Employment-to-population ratio by sex and age (%),Female,2005,38.053178571428575,38.053178571428575
Albania,Employment-to-population ratio by sex and age (%),Female,2007,29.19617857142857,29.19617857142857
Albania,Employment-to-population ratio by sex and age (%),Female,2008,37.87753571428571,37.87753571428571
Albania,Employment-to-population ratio by sex and age (%),Female,2009,37.235214285714285,37.235214285714285
Albania,Employment-to-population ratio by sex and age (%),Female,2010,37.77467857142857,37.77467857142857
Albania,Employment-to-population ratio by sex and age (%),Female,2011,45.108535714285715,45.108535714285715
Albania,Employment-to-population ratio by sex and age (%),Female,2012,42.29589285714286,42.29589285714286
Albania,Employment-to-population ratio by sex and age (%),Female,2013,37.82203571428572,37.82203571428572
Albania,Employment-to-population ratio by sex and age (%),Female,2014,36.63682142857142,36.63682142857142
Albania,Employment-to-population ratio by sex and age (%),Female,2015,38.42975,38.42975
Albania,Employment-to-population ratio by sex and age (%),Female,2016,41.49314285714286,41.49314285714286
Albania,Employment-to-population ratio by sex and age (%),Female,2017,42.198321428571425,42.198321428571425
Albania,Employment-to-population ratio by sex and age (%),Female,2018,45.22175,45.22175
Albania,Employment-to-population ratio by sex and age (%),Female,2019,47.07196428571429,47.07196428571429
Albania,Employment-to-population ratio by sex and age (%),Female,2020,46.16575,46.16575
Albania,Employment-to-population ratio by sex and age (%),Female,2021,46.53885714285714,46.53885714285714
Albania,Employment-to-population ratio by sex and age (%),Female,2022,50.37057142857143,50.37057142857143
Albania,Employment-to-population ratio by sex and age (%),Female,2023,52.22146428571428,52.22146428571428
Albania,Employment-to-population ratio by sex and age (%),Male,2002,55.62978571428572,55.62978571428572
Albania,Employment-to-population ratio by sex and age (%),Male,2004,61.2,61.2
Albania,Employment-to-population ratio by sex and age (%),Male,2005,55.17392857142857,55.17392857142857
Albania,Employment-to-population ratio by sex and age (%),Male,2007,50.82178571428572,50.82178571428572
Albania,Employment-to-population ratio by sex and age (%),Male,2008,54.96214285714286,54.96214285714286
Albania,Employment-to-population ratio by sex and age (%),Male,2009,57.28389285714286,57.28389285714286
Albania,Employment-to-population ratio by sex and age (%),Male,2010,56.23810714285714,56.23810714285714
Albania,Employment-to-population ratio by sex and age (%),Male,2011,59.01985714285714,59.01985714285714
Albania,Employment-to-population ratio by sex and age (%),Male,2012,56.25121428571428,56.25121428571428
Albania,Employment-to-population ratio by sex and age (%),Male,2013,51.513250000000006,51.513250000000006
Albania,Employment-to-population ratio by sex and age (%),Male,2014,51.33671428571428,51.33671428571428
Albania,Employment-to-population ratio by sex and age (%),Male,2015,53.923,53.923
Albania,Employment-to-population ratio by sex and age (%),Male,2016,54.581,54.581
Albania,Employment-to-population ratio by sex and age (%),Male,2017,57.00935714285714,57.00935714285714
Albania,Employment-to-population ratio by sex and age (%),Male,2018,59.628392857142856,59.628392857142856
Albania,Employment-to-population ratio by sex and age (%),Male,2019,60.502678571428575,60.502678571428575
Albania,Employment-to-population ratio by sex and age (%),Male,2020,59.766821428571426,59.766821428571426
Albania,Employment-to-population ratio by sex and age (%),Male,2021,60.09825,60.09825
Albania,Employment-to-population ratio by sex and age (%),Male,2022,62.149142857142856,62.149142857142856
Albania,Employment-to-population ratio by sex and age (%),Male,2023,63.71274999999999,63.71274999999999
Albania,Employment-to-population ratio by sex and age (%),Total,2002,48.71489285714286,48.71489285714286
Albania,Employment-to-population ratio by sex and age (%),Total,2004,50.3,50.3
Albania,Employment-to-population ratio by sex and age (%),Total,2005,46.70875,46.70875
Albania,Employment-to-population ratio by sex and age (%),Total,2007,39.89721428571429,39.89721428571429
Albania,Employment-to-population ratio by sex and age (%),Total,2008,45.99071428571428,45.99071428571428
Albania,Employment-to-population ratio by sex and age (%),Total,2009,46.88878571428571,46.88878571428571
Albania,Employment-to-population ratio by sex and age (%),Total,2010,46.72514285714286,46.72514285714286
Albania,Employment-to-population ratio by sex and age (%),Total,2011,52.002,52.002
Albania,Employment-to-population ratio by sex and age (%),Total,2012,49.27585714285714,49.27585714285714
Albania,Employment-to-population ratio by sex and age (%),Total,2013,44.39260714285714,44.39260714285714
Albania,Employment-to-population ratio by sex and age (%),Total,2014,43.82360714285714,43.82360714285714
Albania,Employment-to-population ratio by sex and age (%),Total,2015,46.15732142857143,46.15732142857143
Albania,Employment-to-population ratio by sex and age (%),Total,2016,48.07114285714285,48.07114285714285
Albania,Employment-to-population ratio by sex and age (%),Total,2017,49.61992857142857,49.61992857142857
Albania,Employment-to-population ratio by sex and age (%),Total,2018,52.37164285714285,52.37164285714285
Albania,Employment-to-population ratio by sex and age (%),Total,2019,53.732464285714286,53.732464285714286
Albania,Employment-to-population ratio by sex and age (%),Total,2020,52.88292857142857,52.88292857142857
Albania,Employment-to-population ratio by sex and age (%),Total,2021,53.21410714285714,53.21410714285714
Albania,Employment-to-population ratio by sex and age (%),Total,2022,56.126107142857144,56.126107142857144
Albania,Employment-to-population ratio by sex and age (%),Total,2023,57.85014285714286,57.85014285714286
Algeria,Employment-to-population ratio by sex and age (%),Female,1984,4.77,4.77
Algeria,Employment-to-population ratio by sex and age (%),Female,2009,10.379499999999998,10.379499999999998
Algeria,Employment-to-population ratio by sex and age (%),Female,2010,10.322785714285715,10.322785714285715
Algeria,Employment-to-population ratio by sex and age (%),Female,2011,11.83,11.83
Algeria,Employment-to-population ratio by sex and age (%),Female,2014,10.725714285714286,10.725714285714286
Algeria,Employment-to-population ratio by sex and age (%),Female,2015,11.586333333333334,11.586333333333334
Algeria,Employment-to-population ratio by sex and age (%),Female,2016,11.655000000000001,11.655000000000001
Algeria,Employment-to-population ratio by sex and age (%),Female,2017,11.110625,11.110625
Algeria,Employment-to-population ratio by sex and age (%),Male,1975,49.04,49.04
Algeria,Employment-to-population ratio by sex and age (%),Male,1984,60.42,60.42
Algeria,Employment-to-population ratio by sex and age (%),Male,2009,60.19771428571429,60.19771428571429
Algeria,Employment-to-population ratio by sex and age (%),Male,2010,60.60592857142858,60.60592857142858
Algeria,Employment-to-population ratio by sex and age (%),Male,2011,60.17,60.17
Algeria,Employment-to-population ratio by sex and age (%),Male,2014,56.24321428571428,56.24321428571428
Algeria,Employment-to-population ratio by sex and age (%),Male,2015,53.386,53.386
Algeria,Employment-to-population ratio by sex and age (%),Male,2016,54.31633333333334,54.31633333333334
Algeria,Employment-to-population ratio by sex and age (%),Male,2017,52.9098125,52.9098125
Algeria,Employment-to-population ratio by sex and age (%),Total,1975,25.37,25.37
Algeria,Employment-to-population ratio by sex and age (%),Total,1980,16.98,16.98
Algeria,Employment-to-population ratio by sex and age (%),Total,1984,31.93,31.93
Algeria,Employment-to-population ratio by sex and age (%),Total,2001,20.2,20.2
Algeria,Employment-to-population ratio by sex and age (%),Total,2009,35.422000000000004,35.422000000000004
Algeria,Employment-to-population ratio by sex and age (%),Total,2010,35.638214285714284,35.638214285714284
Algeria,Employment-to-population ratio by sex and age (%),Total,2011,36.2055,36.2055
Algeria,Employment-to-population ratio by sex and age (%),Total,2014,33.67464285714286,33.67464285714286
Algeria,Employment-to-population ratio by sex and age (%),Total,2015,32.629,32.629
Algeria,Employment-to-population ratio by sex and age (%),Total,2016,33.14433333333333,33.14433333333333
Algeria,Employment-to-population ratio by sex and age (%),Total,2017,32.147,32.147
American Samoa,Employment-to-population ratio by sex and age (%),Total,1974,49.94,49.94
American Samoa,Employment-to-population ratio by sex and age (%),Total,2000,49.25,49.25
American Samoa,Employment-to-population ratio by sex and age (%),Total,2005,53.95,53.95
American Samoa,Employment-to-population ratio by sex and age (%),Total,2010,47.79,47.79
Angola,Employment-to-population ratio by sex and age (%),Female,2004,52.59957142857143,52.59957142857143
Angola,Employment-to-population ratio by sex and age (%),Female,2009,62.320571428571434,62.320571428571434
Angola,Employment-to-population ratio by sex and age (%),Female,2010,66.5488888888889,66.5488888888889
Angola,Employment-to-population ratio by sex and age (%),Female,2011,68.36666666666666,68.36666666666666
Angola,Employment-to-population ratio by sex and age (%),Female,2014,35.729285714285716,35.729285714285716
Angola,Employment-to-population ratio by sex and age (%),Female,2019,64.74121428571428,64.74121428571428
Angola,Employment-to-population ratio by sex and age (%),Female,2021,66.50071428571428,66.50071428571428
Angola,Employment-to-population ratio by sex and age (%),Female,2022,67.44592857142857,67.44592857142857
Angola,Employment-to-population ratio by sex and age (%),Male,2004,65.15342857142858,65.15342857142858
Angola,Employment-to-population ratio by sex and age (%),Male,2009,75.96953571428571,75.96953571428571
Angola,Employment-to-population ratio by sex and age (%),Male,2010,71.99444444444445,71.99444444444445
Angola,Employment-to-population ratio by sex and age (%),Male,2011,74.9011111111111,74.9011111111111
Angola,Employment-to-population ratio by sex and age (%),Male,2014,48.36389285714285,48.36389285714285
Angola,Employment-to-population ratio by sex and age (%),Male,2019,68.86439285714286,68.86439285714286
Angola,Employment-to-population ratio by sex and age (%),Male,2021,69.94778571428571,69.94778571428571
Angola,Employment-to-population ratio by sex and age (%),Male,2022,69.72896428571428,69.72896428571428
Angola,Employment-to-population ratio by sex and age (%),Total,2004,58.64067857142857,58.64067857142857
Angola,Employment-to-population ratio by sex and age (%),Total,2009,68.92535714285715,68.92535714285715
Angola,Employment-to-population ratio by sex and age (%),Total,2010,69.19888888888889,69.19888888888889
Angola,Employment-to-population ratio by sex and age (%),Total,2011,71.48333333333333,71.48333333333333
Angola,Employment-to-population ratio by sex and age (%),Total,2014,41.696285714285715,41.696285714285715
